Row #,Facility,TRIF ID,Latitude,Longitude,Total On-site,Total Off-site,Total On- and 
154,"INLAND DIE CASTING.161 CARPENTER, WHEELING ILLINOIS 60090 (COOK)",60090NLNDD161CA,42.13,-87.921,657,0,657
155,"INX INTERNATIONAL INK CO.1000 MAPLE AVE, HOMEWOOD ILLINOIS 60430 (COOK)",6043WNXNTR1MAPL,41.569,-87.644,6.51,6.3,12.81
156,"ITW SPECIALTY FILMS.500 STATE ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411CTDFL500ST,41.522,-87.618,"16,226.00",912,"17,138.00"
157,"JERNBERG INDUSTRIES INC.328 W 40TH PL, CHICAGO ILLINOIS 60609 (COOK)",60609JRNBR328W4,41.82,-87.635,0,0,0
158,"JERNBERG INDUSTRIES INC PERSHING.329 W PERSHING RD, CHICAGO ILLINOIS 60609 (COOK)",60609RNMNT329WP,41.823,-87.634,0,0,0
159,"JOHN CRANE INC.6400 W OAKTON ST, MORTON GROVE ILLINOIS 60053 (COOK)",60053JHNCR6400W,42.027,-87.786,0,0,0
160,"JONAS ENTERPRISES INC.21 N KILPATRICK, CHICAGO ILLINOIS 60644 (COOK)",60644JNSNT21NOR,41.881,-87.743,1,1.1,2.1
161,"KA STEEL CHEMICALS INC D/B/A OLIN CHLOR ALKALI PRODUCTS &.15185 MAIN ST, LEMONT ILLINOIS 60439 (COOK)",60439KSTLC15185,41.681,-87.99,145.59,0,145.59
162,"KAFKO INTERNATIONAL LTD.3555 W HOWARD ST, SKOKIE ILLINOIS 60076 (COOK)",60076KWBTT3555H,42.019,-87.718,.,0,0
163,"KARNAK MIDWEST.2601 GARDNER RD, BROADVIEW ILLINOIS 60155 (COOK)",60153KRNKM2601G,41.856,-87.867,110,0,110
164,"KASTALON INC.4100 W 124TH PL, ALSIP ILLINOIS 60803 (COOK)",60658KSTLN4100W,41.667,-87.721,0,0,0
165,"KEEBLER CO.2945 W 31ST ST, CHICAGO ILLINOIS 60623 (COOK)",6062WKBLRC2945W,41.836,-87.699,996.55,0,996.55
166,"KLOECKNER METALS CORP.4940 W BLOOMINGDALE AVE, CHICAGO ILLINOIS 60639 (COOK)",60639TMTCS4940W,41.913,-87.751,513.2,0,513.2
167,"KOPPERS INC.3900 S LARAMIE AVE, CICERO ILLINOIS 60804 (COOK)",60650KPPRS3900S,41.821,-87.749,"42,728.80",7.5,"42,736.30"
168,"LA-CO INDUSTRIES INC.1201 PRATT BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007LCNDS1201P,41.998,-87.968,0,0,0
169,"LAFARGE NA INC.2150 E 130TH ST, CHICAGO ILLINOIS 60633 (COOK)",60633LFRGN2150E,41.66,-87.571,0.24,0,0.24
170,"LAKESIDE LITHOGRAPHY LLC.1600 S LAFLIN ST, CHICAGO ILLINOIS 60608 (COOK)",60608DRCNT1600S,41.859,-87.665,340,0,340
171,"LANG DENTAL MANUFACTURING CO.175 MESSNER DR, WHEELING ILLINOIS 60090 (COOK)",60090LNGDN788TU,42.114,-87.912,62.8,0,62.8
172,"LANG ICE CO.3600 W 59TH ST, CHICAGO ILLINOIS 60629 (COOK)",60629LNGCC36W59,41.786,-87.714,500,0,500
173,"LARSON FORGINGS.2645-65 N KEELER AVE, CHICAGO ILLINOIS 60639 (COOK)",60639CHRLS2645N,41.93,-87.731,0,9.04,9.04
174,"LIFEWAY FOODS INC.6431 OAKTON ST, MORTON GROVE ILLINOIS 60053 (COOK)",6005WLFWYF6431A,.,.,1.6,"5,199.30","5,200.90"
175,"LITHOGRAPHIC INDUSTRIES INC.2445 GARDNER RD, BROADVIEW ILLINOIS 60155 (COOK)",60153LTHGR2445G,41.858,-87.867,"4,486.00",0,"4,486.00"
176,"MAGNETIC INSPECTION LABORATORY INC.1401 GREENLEAF AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007MGNTC1401G,42.003,-87.965,"12,619.00","71,877.70","84,496.70"
177,"MAIN STEEL LLC.2200 PRATT BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007PRFNS2200E,41.998,-87.949,3,0,3
178,"MASTERS & ALLOY LLC.12841 S PULASKI RD, ALSIP ILLINOIS 60803 (COOK)",6080WMSTRS12841,.,.,5.53,0,5.53
179,"MATERIAL SCIENCES CORP.2300 E PRATT BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007PRFNS2300E,41.999,-87.946,"7,423.00","4,895.00","12,318.00"
180,"MBAF - DIV OF G&W ELECTRIC.3450 W 127TH ST, BLUE ISLAND ILLINOIS 60406 (COOK)",60406GWLCT3500W,41.662,-87.706,500,0,500
181,"MECH-TRONICS.1635 N 25TH AVE, MELROSE PARK ILLINOIS 60160 (COOK)",60160MCHTR1635N,41.904,-87.864,313,11,324
182,"MERCURY PRODUCTS CORP.1201 S MERCURY DR, SCHAUMBURG ILLINOIS 60193 (COOK)",60193MRCRY121SM,42.004,-88.124,0,0,0
183,"MESKAN FOUNDRY.2007-13 N MAJOR AVE, CHICAGO ILLINOIS 60639 (COOK)",6063WLSMSK2713N,41.917,-87.768,146,0,146
184,"METAL IMPACT LLC.1501 OAKTON ST, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007MTLMP1501O,42.021,-87.964,"18,224.00",0,"18,224.00"
185,"METAL-MATIC INC.7200 S NARRAGANSETT AVE, BEDFORD PARK ILLINOIS 60638 (COOK)",60638MTLMT72SNA,41.762,-87.782,0,0,0
186,"MEYER STEEL DRUM INC.2000 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",60623MYRST2000S,41.854,-87.738,"40,936.00",0,"40,936.00"
187,"MID-WEST MFG LLC.475 E 16TH ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411MDWST475EA,41.504,-87.61,4.19,740,744.19
188,"MIDLAND INDUSTRIES INC.1424 N HALSTED ST, CHICAGO ILLINOIS 60642 (COOK)",60622MLNDN1424N,41.907,-87.649,"2,400.60",0,"2,400.60"
189,"MIDWESTERN RUST PROOF INC.3636 N KILBOURN AVE, CHICAGO ILLINOIS 60641 (COOK)",60614WSTRN3636N,41.948,-87.741,"1,150.00","2,610.00","3,760.00"
190,"MJ CELCO INC.3900 WESLEY TERRACE, SCHILLER PARK ILLINOIS 60176 (COOK)",60176CLCND3900W,41.95,-87.864,"19,632.00",0,"19,632.00"
191,"MONDELEZ GLOBAL LLC.7300 S KEDZIE AVE, CHICAGO ILLINOIS 60629 (COOK)",60629NBSCB7300S,41.759,-87.705,"17,845.00",0,"17,845.00"
192,"MPLX TERMINALS LLC - MT PROSPECT IL TERMINAL.3231 BUSSE RD, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",60005MRTHN3231B,42.027,-87.96,"2,546.00",80.5,"2,626.50"
193,"MUMFORD METAL CASTING LLC.13 E LAKE ST, NORTHLAKE ILLINOIS 60164 (COOK)",60164CLLNM13ELA,41.901,-87.901,0,93,93
194,"MW GALVANIZING INC.7400 S DAMEN AVE, CHICAGO ILLINOIS 60636 (COOK)",60636MDWST7400S,41.759,-87.675,0,0,0
195,"NALCO CO.6216 W 66TH PL, CHICAGO ILLINOIS 60638 (COOK)",60638NLCCH6216W,41.772,-87.776,53,"3,800.00","3,853.00"
196,"NATIONAL TECHNOLOGY INC.1101 CARNEGIE ST, ROLLING MEADOWS ILLINOIS 60008 (COOK)",60008NTLTC1101C,42.099,-88.029,2.18,"5,018.83","5,021.01"
197,"NAVISTAR INC.10400 W N AVE, MELROSE PARK ILLINOIS 60160 (COOK)",60160NVSTR10400,41.911,-87.88,14.399,494.9,509.299
198,"NB COATINGS INC.3000 E 170TH ST, LANSING ILLINOIS 60438 (COOK)",60438MRTNN3000E,41.587,-87.544,250,0,250
199,"NB COATINGS INC.2701 E 170TH ST, LANSING ILLINOIS 60438 (COOK)",60438BCHMC2700E,41.585,-87.548,"23,252.00",0,"23,252.00"
200,"NELSEN STEEL & WIRE LP.9400 W BELMONT AVE, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131NLSNS9400W,41.939,-87.862,177,0,177
201,"NEXEO SOLUTIONS LLC.8500 S WILLOW SPRINGS RD, WILLOW SPRINGS ILLINOIS 60480 (COOK)",60480SHLND8500S,41.746,-87.877,"10,649.00",0,"10,649.00"
202,"NIAGARA LASALLE CORP - SOUTH HOLLAND.16655 S CANAL ST, SOUTH HOLLAND ILLINOIS 60473 (COOK)",60473NVRSL16655,41.592,-87.627,46,9.35,55.35
203,"NICKEL COMPOSITE COATINGS INC.6454 W 74TH ST, BEDFORD PARK ILLINOIS 60638 (COOK)",60638NCKLC6454W,41.758,-87.783,22,0,22
204,"NOBERT PLATING CO.1445 N PULASKI ROAD, CHICAGO ILLINOIS 60651 (COOK)",60651NBRTP1445N,41.907,-87.726,34.88,68.91,103.79
205,"NOBERT PLATING PLANT 1.340 N ASHLAND AVENUE, CHICAGO ILLINOIS 60607 (COOK)",60607NBRTP340NO,41.888,-87.667,"1,055.01",110.86,"1,165.87"
206,"NORTH AMERICAN ELECTROLESS NIC KEL INC.776 LUNT AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007LKGRV776LU,42.002,-87.976,750,760,"1,510.00"
207,"NORTHFIELD BLOCK - FRANKLIN PARK.10532 FRANKLIN AVE, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131MRCNS10352,41.941,-87.884,0,0,0
208,"NUFARM AMERICAS INC (DBA RIVERDALE CHEMICAL).220 E 17TH ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411RVRDL220EA,41.5,-87.628,762.76,"6,966.00","7,728.76"
209,"NUFARM AMERICAS INC - ALSIP.11901 SOUTH AUSTIN AVENUE, ALSIP ILLINOIS 60803 (COOK)",6080WNFRMM1191S,41.677,-87.768,9.57,0,9.57
210,"NYCO PRODUCTS CO.5332 S DANSHER RD, COUNTRYSIDE ILLINOIS 60525 (COOK)",60525NYCPR5332D,41.794,-87.861,"1,002.00",49.6376,"1,051.64"
211,"NYLOK LLC.6465 PROESEL AVE, LINCOLNWOOD ILLINOIS 60712 (COOK)",60645NYLKC6465P,41.999,-87.726,"2,485.11",0,"2,485.11"
212,"O&K AMERICAN CORP.4630 W 54TH ST, CHICAGO ILLINOIS 60632 (COOK)",60632MDWYW4630W,41.794,-87.739,"2,588.00",14,"2,602.00"
213,"OMEGA PLATING INC.4704 W 137TH ST, CRESTWOOD ILLINOIS 60445 (COOK)",60445MGPLT4704W,41.644,-87.736,278,730,"1,008.00"
214,"ORLANDI STATUARY CO.1801 N CENTRAL PARK AVE, CHICAGO ILLINOIS 60647 (COOK)",60647RLNDS181NC,41.914,-87.716,"2,245.00",0,"2,245.00"
215,"OWENS CORNING ROOFING & ASPHALT LLC.5824 S  ARCHER RD, SUMMIT ILLINOIS 60501 (COOK)",60501WNSCR5824S,41.785,-87.814,"2,567.15",3.2784,"2,570.43"
216,"OZINGA BROS INC-MCCOOK PLANT.5500 JOLIET RD, MC COOK ILLINOIS 60525 (COOK)",6052WZNGBR55JLI,41.791,-87.839,0.1104,0,0.1104
217,"OZINGA IL RMC   LEMONT.STEPHEN ST, LEMONT ILLINOIS 60439 (COOK)",60439ZNGLRSTEPH,41.68,-88.003,0.108,0,0.108
218,"OZINGA READY MIX CONCRETE INC - ALSIP.12660 SOUTH LARAMIE AVENUE, ALSIP ILLINOIS 60803 (COOK)",6080WZNGRD1266S,41.664,-87.752,0.0797,0,0.0797
219,"OZINGA READY MIX CONCRETE INC - STATE ST.6445 SOUTH STATE STREET, CHICAGO ILLINOIS 60637 (COOK)",6063WZNGRD6445S,41.776,-87.624,0.0181,0,0.0181
220,"OZINGA READY-MIX CONCRETE - CHINATOWN.2255 S LUMBER ST, CHICAGO ILLINOIS 60616 (COOK)",60616ZNGCH2255S,41.851,-87.643,0.15342,0,0.15342
221,"OZINGA READY-MIX CONCRETE DESPLAINES YARD.200 W JARVIS RD, DES PLAINES ILLINOIS 60016 (COOK)",6001WZNGRD2WJAR,42.013,-87.924,0.2199,0,0.2199
222,"OZINGA READY-MIX CONCRETE-EVANSTON YARD.2525 OAKTON ST, EVANSTON ILLINOIS 60202 (COOK)",6060WZNGCH2525A,42.029,-87.708,0.142,0,0.142
223,"OZINGA READY-MIX CONCRETE-NORTH SIDE YARD.2001 N MENDELL ST, CHICAGO ILLINOIS 60614 (COOK)",60614ZNGCH2001N,41.918,-87.666,0.11763,0,0.11763
224,"OZINGA READY-MIX CONCRETE-WHEELING.129 RAILROAD AVE, WHEELING ILLINOIS 60090 (COOK)",60090MYRMT129SR,42.137,-87.929,0.061,0,0.061
225,"OZINGA READY-MIX STREAMWOOD PLANT.1021 FRANCES DR, STREAMWOOD ILLINOIS 60107 (COOK)",60107MYRMT121FR,42.011,-88.149,0.047,0,0.047
226,"PENRAY COS INC.440 DENNISTON CT, WHEELING ILLINOIS 60090 (COOK)",60090SPCKG440DE,42.131,-87.929,338,0,338
227,"PENRAY COS INC.1801 ESTES AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007PNRYC1801E,42.005,-87.958,388,318,706
228,"PERFECTION PLATING INC.1521 MORSE AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007CNCHC1501M,42,-87.962,10.01,150.62,160.63
229,"PERFECTION PLATING INC.775 MORSE AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007PRFCT775MO,41.999,-87.976,27,817.7,844.7
230,"PERKINS PRODUCTS INC.7025 W 66TH PL, BEDFORD PARK ILLINOIS 60638 (COOK)",60134PRKNS7025W,41.771,-87.797,.,0,0
231,"PICO CHEMICAL CORP.400 E 16TH ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411PCCHM400E1,41.503,-87.614,.,0,0
232,"PLASTICS COLOR CORP OF ILLINOIS.14201 PAXTON AVE, CALUMET CITY ILLINOIS 60409 (COOK)",60409PLSTC142EA,41.637,-87.565,31,94,125
233,"PLATING INTERNATIONAL INC.11142 ADDISON AVE, FRANKLIN PARK ILLINOIS 60131 (COOK)",6013WPLTNG11142,41.942,-87.904,.,0,0
234,"POLYCHEMIE INC.13931 S INDIANA AVE, DOLTON ILLINOIS 60419 (COOK)",60627SCDYN13931,41.642,-87.617,296,5,301
235,"POLYONE CORP.2400 DEVON AVE E, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007PMSCN2400E,41.994,-87.944,.,0,0
236,"POWELL ELECTRICAL SYSTEMS INC - DELTA-UNIBUS DIV.515 NORTH RAILROAD STREET, NORTHLAKE ILLINOIS 60164 (COOK)",6016WDLTNB515NR,41.917,-87.913,0,0,0
237,"PRECISION PLATING CO INC.4123 W PETERSON AVE, CHICAGO ILLINOIS 60646 (COOK)",60646PRCSN4123W,41.99,-87.731,406.068,234.425,640.493
238,"PRESTONE PRODUCTS.13160 S PULASKI RD, ALSIP ILLINOIS 60803 (COOK)",60658FRSTB13160,41.652,-87.721,272,0,272
239,"PROGRESSIVE BRONZE PRODUCTS LLC.3550 N. SPAULDING AVE, CHICAGO ILLINOIS 60618 (COOK)",6061WPRGRS355NS,41.946,-87.71,1,0,1
240,"PVS CHEMICAL SOLUTIONS INC.12260 S CARONDOLET AVE, CHICAGO ILLINOIS 60633 (COOK)",60633PVSCH12260,41.672,-87.551,"4,743.00",0,"4,743.00"
241,"QCC LLC.7301 W WILSON AVE, HARWOOD HEIGHTS ILLINOIS 60706 (COOK)",6070WQCCLL7315W,41.963,-87.81,0,0,0
242,"RAHCO RUBBER INC.1633 BIRCHWOOD AVE, DES PLAINES ILLINOIS 60018 (COOK)",60018RHCRB1633B,42.014,-87.885,0,0,0
243,"RAMCEL ENGINEERING LLC.2926 MACARTHUR BLVD, NORTHBROOK ILLINOIS 60062 (COOK)",60062RMCLN2926M,42.149,-87.852,"23,512.00",0,"23,512.00"
244,"RAULAND-BORG CORP.1802 W CENTRAL RD, MOUNT PROSPECT ILLINOIS 60056 (COOK)",60056RLNDB182CE,42.066,-87.963,0,0,0
245,"REAL ALLOY RECYCLING LLC.400 E LINCOLN HWY, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411CLMBL400EA,41.505,-87.617,"38,935.82","369,691.08","408,626.90"
246,"REGIS TECHNOLOGIES INC.8210 N AUSTIN AVE, MORTON GROVE ILLINOIS 60053 (COOK)",60053RGSTC8210N,42.031,-87.777,30,15,45
247,"RELADYNE.9707 S. 76TH AVENUE, BRIDGEVIEW ILLINOIS 60455 (COOK)",6045WRLDYN977S7,41.715,-87.809,2.22,0,2.22
248,"RELADYNE  (ELK GROVE VILLAGE).2250 ARTHUR AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007PRMRC2250A,41.996,-87.948,0,0,0
249,"RELIABLE PLATING.1538 W. LAKE ST., CHICAGO ILLINOIS 60607 (COOK)",60607RLBLP1538W,41.886,-87.666,"1,344.01",606.99,"1,951.00"
250,"RESINOID ENGINEERING CORP.7557 N ST LOUIS AVE, SKOKIE ILLINOIS 60076 (COOK)",60076RSNDN7557S,42.018,-87.716,106.7,0,106.7
251,"RIVERDALE PLATING & HEAT TREATING LLC.680 W 134TH ST, RIVERDALE ILLINOIS 60827 (COOK)",60627RVRDL680WE,41.651,-87.639,"2,090.00","43,426.00","45,516.00"
252,"ROGERS METAL SERVICES INC.7330 N MONTICELLO AVE, SKOKIE ILLINOIS 60076 (COOK)",60076RGRSM7330N,42.015,-87.72,5,0,5
253,"ROHM & HAAS CHEMICALS LLC.2401 E PRATT BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007MRTNC2401E,41.998,-87.943,375,870,"1,245.00"
254,"ROLLEX CORP.800 CHASE AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007RLLXC800CH,42.011,-87.975,964,0,964
255,"ROSE PACKING CO INC.4900 S MAJOR AVE, CHICAGO ILLINOIS 60638 (COOK)",60638RSPCK4900S,41.803,-87.765,755,0,755
256,"ROWELL CHEMICAL CORP.10100 ARCHER RD, WILLOW SPRINGS ILLINOIS 60480 (COOK)",60480RWLLC10100,41.717,-87.91,5.06232,0,5.06232
257,"RR STREET & CO INC.2353 S BLUE ISLAND AVE, CHICAGO ILLINOIS 60608 (COOK)",60608RRSTR2353S,41.849,-87.673,848,0,848
258,"RYCOLINE PRODUCTS LLC.5540 NW HWY, CHICAGO ILLINOIS 60630 (COOK)",60630RYCLN5540N,41.981,-87.78,.,0,0
259,"S&C ELECTRIC CO.6601 N RIDGE BLVD, CHICAGO ILLINOIS 60626 (COOK)",60626SCLCT6601N,42.002,-87.677,893,"24,305.50","25,198.50"
260,"SAFETY-KLEEN SYSTEMS.633 E 138TH ST, DOLTON ILLINOIS 60419 (COOK)",60419SFTYK633E1,41.645,-87.606,"15,502.80",379,"15,881.80"
261,"SAFETY-KLEEN SYSTEMS ELGIN (ELG).1500 E VILLA ST, ELGIN ILLINOIS 60120 (COOK)",60120SFTYK1500E,42.019,-88.233,0,0,0
262,"SAPORITO FINISHING CO.3119 S AUSTIN BLVD, CICERO ILLINOIS 60804 (COOK)",60650CJSPR3119S,41.835,-87.773,"1,705.00","125,216.51","126,921.51"
263,"SCOT FORGE CO.9394 W BELMONT AVE, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131SCTFR9384B,41.939,-87.861,30.2,0.19,30.39
264,"SENIOR FLEXONICS.300 E DEVON AVE, BARTLETT ILLINOIS 60103 (COOK)",60103FLXNC300ED,41.99,-88.178,"17,101.00",665,"17,766.00"
265,"SHERWIN-WILLIAMS CO.1991 S WHEELING RD, WHEELING ILLINOIS 60090 (COOK)",60090NTRPR1991W,42.118,-87.925,950,"2,389.10","3,339.10"
266,"SHERWIN-WILLIAMS CO.11700 S COTTAGE GROVE, CHICAGO ILLINOIS 60628 (COOK)",60628SHRWN11541,41.683,-87.606,124.1,"1,457.40","1,581.50"
267,"SHERWIN-WILLIAMS CO.21901 CENTRAL AVE, MATTESON ILLINOIS 60443 (COOK)",60443CHRDW21901,41.494,-87.747,904,14.82,918.82
268,"SIEMENS MEDICAL SOLUTIONS INC MOLECULAR IMAGING.2501 N BARRINGTON RD, HOFFMAN ESTATES ILLINOIS 60192 (COOK)",60195SMNSG2501B,42.071,-88.139,0.000005,0,0.000005
269,"SIGMATRON INTERNATIONAL INC - ELK GROVE DIV.2201 LANDMEIER RD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007BLRMN2201L,42.009,-87.948,0,104,104
270,"SIGNODE INDUSTRIAL GROUP LLC.7701 W 71ST ST, BRIDGEVIEW ILLINOIS 60455 (COOK)",60455SGNDC7701W,41.761,-87.812,"36,909.00","6,237.20","43,146.20"
271,"SIMS RECYCLING SOLUTIONS.3700 N RUNGE ST, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131NTDRF3700N,41.946,-87.911,70.4,0,70.4
272,"SIPI METALS CORP.1720 ELSTON AVENUE, CHICAGO ILLINOIS 60642 (COOK)",60622SPMTL1720E,41.914,-87.665,"3,110.00","29,169.00","32,279.00"
273,"SKOLNIK INDUSTRIES.4900 S KILBOURN AVE, CHICAGO ILLINOIS 60632 (COOK)",60632SKLNK49SKI,41.804,-87.737,"10,990.00",0,"10,990.00"
274,"SLIDE PRODUCTS INC.430 S WHEELING RD, WHEELING ILLINOIS 60090 (COOK)",60090PRCYH430SO,42.132,-87.927,500,0,500
275,"SLOAN VALVE CO.10500 SEYMOUR AVE, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131SLNVL10500,41.952,-87.889,"30,511.90","5,154.50","35,666.40"
276,"SOLVAY USA INC.14000 S SEELEY AVE, BLUE ISLAND ILLINOIS 60406 (COOK)",60406WTCCR14000,41.638,-87.671,663,80.5,743.5
277,"SONOCO FLEXIBLES ELK GROVE PLANT.1950 PRATT BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007CLRLM1950P,41.999,-87.954,"8,537.00",0,"8,537.00"
278,"STERLING PLATING INC.4629 N RONALD ST, HARWOOD HEIGHTS ILLINOIS 60706 (COOK)",60656STRLN4600N,41.966,-87.803,135,177,312
279,"STERLING SITE ACCESS SOLUTIONS LLC.501 E 151ST ST, PHOENIX ILLINOIS 60426 (COOK)",6042WSTRLN51E15,41.615,-87.636,5,0,5
280,"SUN CHEMICAL CORP.135 W LAKE ST, NORTHLAKE ILLINOIS 60164 (COOK)",60164GNRLP135WL,41.903,-87.91,"1,743.00",0,"1,743.00"
281,"SUN PROCESS CONVERTING CO.1660 KENNETH DR, MOUNT PROSPECT ILLINOIS 60056 (COOK)",60056SNPRC1660K,42.031,-87.957,762,0,762
282,"SUNNYSIDE CORP.225 CARPENTER AVE, WHEELING ILLINOIS 60090 (COOK)",60090SNNYS225CA,42.13,-87.923,"1,936.70",0,"1,936.70"
283,"SUPERIOR MANUFACTURING GROUP.5655 W 73RD ST, BEDFORD PARK ILLINOIS 60638 (COOK)",60638TRTLW5655W,41.759,-87.764,.,0,0
284,"SWISS PRECISION MACHINING INC.634 GLENN AVE, WHEELING ILLINOIS 60090 (COOK)",60090RXSLD634GL,42.128,-87.919,0,0,0
285,"SWITCHCRAFT INC.5555 N ELSTON AVE, CHICAGO ILLINOIS 60630 (COOK)",60618SWTCH5555N,41.982,-87.762,17,0,17
286,"TAUBENSEE STEEL & WIRE CO.600 DIENS DR, WHEELING ILLINOIS 60090 (COOK)",60090TBNSS600DI,42.149,-87.931,25,0,25
287,"TENNANT COATINGS.1120 W EXCHANGE AVE, CHICAGO ILLINOIS 60609 (COOK)",6060WTNNNT112WE,41.819,-87.654,.,0,0
288,"THREE J'S INDUSTRIES INC.701 LANDMEIER ROAD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007THRJS701LA,42.014,-87.978,1,"4,688.32","4,689.32"
289,"TMS MANUFACTURING.3555 W 123RD ST, ALSIP ILLINOIS 60803 (COOK)",60406WCRCH3555W,41.669,-87.709,.,0,0
290,"TOPY PRECISION MANUFACTURING INC.1375 LUNT AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007TPYPR1375L,42.002,-87.965,144,"14,256.00","14,400.00"
291,"TOWER AUTOMOTIVE.12350 S AVE O, CHICAGO ILLINOIS 60633 (COOK)",60633TWRTM1235S,41.669,-87.541,0,0,0
292,"TRELLEBORG SEALING SOLUTIONS INC.901 PHOENIX LAKE AVENUE, STREAMWOOD ILLINOIS 60107 (COOK)",6010WTRLLB91PHE,42.014,-88.15,"6,087.00",0,"6,087.00"
293,"TRIALCO INC.900 E 14TH ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411TRLCN900E1,41.506,-87.609,8,"3,316.00","3,324.00"
294,"TRITON WEST LLC - SHELL DES PLAINES TERMINAL.1605 E ALGONQUIN RD, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",60005DSPLN1605A,42.054,-87.998,"5,498.33",303.744,"5,802.07"
295,"TRU VUE INC.9400 W 55TH ST, MC COOK ILLINOIS 60525 (COOK)",60525TRV009400W,41.796,-87.853,746,57,803
296,"UNITED ELECTRONICS CORP.3615 WOLF RD, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131MRCNS3615W,41.944,-87.904,0,954.018,954.018
297,"UNITY MANUFACTURING CO.1260 N CLYBOURN AVE, CHICAGO ILLINOIS 60610 (COOK)",60610NTYMF1260N,41.905,-87.642,83.04,"1,002.92","1,085.96"
298,"UNIVAR USA INC.8500 W 68 TH ST, BEDFORD PARK ILLINOIS 60501 (COOK)",60501VNWTR8500W,41.763,-87.829,.,0,0
299,"UNIVAR USA INC.7050 W 71ST ST, BEDFORD PARK ILLINOIS 60638 (COOK)",60499CHMCN7050W,41.765,-87.797,27.86778,0,27.86778
300,"UNIVERSAL CHEMICALS & COATINGS INC.1124 ELMHURST RD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007NVRSL1124E,42.009,-87.941,"4,200.00",0,"4,200.00"
301,"UNIVERSAL ELECTRIC FOUNDRY INC.1523 W HUBBARD ST, CHICAGO ILLINOIS 60642 (COOK)",60622NVRSL1523W,41.89,-87.666,174.49,0,174.49
302,"UOP LLC MCCOOK PLANT.8400 JOLIET RD, MC COOK ILLINOIS 60525 (COOK)",60525PNCXX8400J,41.8,-87.827,"12,250.00",0,"12,250.00"
303,"VALMONT COATINGS INC EMPIRE GALVANIZING.10909 FRANKLIN AVE, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131MPRGL10909,41.942,-87.898,302,"2,755.00","3,057.00"
304,"VALVOLINE.8450 WILLOW SPRINGS RD, WILLOW SPRINGS ILLINOIS 60480 (COOK)",60408VLVLN8450S,41.742,-87.88,.,0,0
305,"VAN NORMAN MOLDING CO.9615 S 76TH AVE, BRIDGEVIEW ILLINOIS 60455 (COOK)",60455VNNRM9615S,41.717,-87.808,"2,200.00","1,500.00","3,700.00"
306,"VANTAGE OLEOCHEMICALS.4650 S RACINE AVE, CHICAGO ILLINOIS 60609 (COOK)",60609NCHMC4650S,41.811,-87.657,0,"2,530.00","2,530.00"
307,"VCNA PRAIRIE LLC - YARD 1001.7601 W. 79TH STREET, BRIDGEVIEW ILLINOIS 60455 (COOK)",6045WVCNPR761W7,41.747,-87.809,0.0131586,0,0.0131586
308,"VCNA PRAIRIE LLC - YARD 1005.9050 SOUTH GREEN STREET, CHICAGO ILLINOIS 60620 (COOK)",6062WVCNPR95SUT,41.729,-87.645,0.0120528,0,0.0120528
309,"VCNA PRAIRIE LLC - YARD 1007.3250 NORTH KEDZIE, CHICAGO ILLINOIS 60618 (COOK)",6061WVCNPR325NR,41.941,-87.708,0.01316,0,0.01316
